longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
-118.48,34.42,21.0,1375.0,259.0,728.0,258.0,5.0166,229000.0
-118.33,33.91,35.0,1092.0,302.0,962.0,297.0,3.5903,183300.0
-120.93,37.66,10.0,7566.0,1348.0,3227.0,1199.0,4.744,148100.0
-118.33,34.05,44.0,1574.0,390.0,1323.0,404.0,2.5284,226300.0
-122.35,37.94,47.0,1275.0,275.0,844.0,273.0,2.8967,95600.0
-118.31,33.95,43.0,1823.0,358.0,1065.0,342.0,3.2708,131000.0
-122.03,37.86,29.0,3025.0,477.0,1035.0,452.0,6.112,390600.0
-121.37,38.67,36.0,1786.0,338.0,974.0,319.0,2.555,72700.0
-117.85,34.06,24.0,3128.0,497.0,1406.0,472.0,7.5286,462700.0
-118.36,33.92,19.0,2807.0,883.0,1546.0,815.0,2.6375,233800.0
-122.23,37.84,47.0,3175.0,454.0,1098.0,485.0,5.2868,347600.0
-121.51,38.56,43.0,1048.0,312.0,1320.0,294.0,1.0649,137500.0
-118.57,34.21,23.0,4891.0,793.0,2447.0,765.0,5.8798,270500.0
-117.15,34.03,26.0,5305.0,701.0,1818.0,676.0,6.1461,217100.0
-118.1,34.05,26.0,1495.0,328.0,1296.0,304.0,2.913,152300.0
-118.25,33.94,44.0,1463.0,312.0,940.0,312.0,2.3333,99800.0
-121.79,39.48,39.0,1105.0,180.0,408.0,166.0,3.3929,82100.0
-117.79,33.68,9.0,1633.0,295.0,928.0,297.0,5.7858,265900.0
-121.81,37.31,15.0,1794.0,366.0,1533.0,371.0,5.7843,209900.0
-122.28,37.9,52.0,2261.0,328.0,819.0,335.0,4.9083,346800.0
-121.29,38.76,12.0,1198.0,174.0,443.0,170.0,6.0097,187500.0
-116.97,32.76,26.0,2460.0,313.0,838.0,299.0,5.9878,270700.0
-121.29,38.04,16.0,2128.0,441.0,1860.0,459.0,3.1779,97300.0
-117.92,33.98,10.0,16414.0,2919.0,8907.0,2714.0,6.1552,362500.0
-118.32,33.99,43.0,2028.0,479.0,1074.0,394.0,2.5909,98700.0
-118.16,34.07,42.0,3836.0,777.0,2118.0,754.0,3.6364,254600.0
-122.45,37.78,52.0,1345.0,291.0,560.0,294.0,3.7159,494400.0
-120.46,37.29,30.0,2972.0,635.0,1940.0,590.0,2.3594,72300.0
-119.75,36.77,32.0,1962.0,399.0,1005.0,392.0,2.6726,70400.0
-121.47,38.72,26.0,1708.0,299.0,911.0,290.0,4.0227,99800.0
-119.71,36.81,19.0,1648.0,368.0,557.0,354.0,1.7969,72800.0
-118.4,34.07,22.0,2170.0,593.0,850.0,520.0,2.9107,500001.0
-122.0,38.35,38.0,1918.0,364.0,745.0,348.0,2.5707,126000.0
-118.99,35.3,33.0,2248.0,434.0,1461.0,405.0,2.9402,56200.0
-119.33,36.28,16.0,2624.0,527.0,1077.0,520.0,2.125,104200.0
-122.28,37.54,24.0,5114.0,1357.0,3169.0,1268.0,3.9699,293200.0
-119.45,36.6,42.0,510.0,88.0,247.0,99.0,2.5,73000.0
-117.96,33.69,20.0,3123.0,441.0,1319.0,432.0,6.091,290400.0
-117.91,33.76,22.0,7531.0,1569.0,5254.0,1523.0,3.8506,167400.0
-117.4,33.95,43.0,633.0,166.0,292.0,135.0,1.1601,121400.0
-118.3,33.95,35.0,1182.0,305.0,977.0,283.0,1.5898,94000.0
-117.49,33.98,17.0,2727.0,462.0,1691.0,448.0,4.8371,160600.0
-118.44,34.2,36.0,2698.0,623.0,1544.0,554.0,2.7375,234900.0
