longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
-121.38,38.67,37.0,2176.0,460.0,1067.0,357.0,2.3958,78400.0
-119.82,36.77,41.0,1441.0,274.0,646.0,296.0,3.0568,71300.0
-121.94,37.31,5.0,2364.0,578.0,1102.0,502.0,5.2642,246400.0
-116.38,33.71,17.0,12509.0,2460.0,2737.0,1423.0,4.5556,258100.0
-118.57,34.15,22.0,5791.0,706.0,2059.0,673.0,10.9201,500001.0
-118.32,34.1,31.0,622.0,229.0,597.0,227.0,1.5284,200000.0
-117.95,33.77,38.0,1476.0,308.0,1114.0,309.0,4.1917,181800.0
-117.67,33.49,10.0,366.0,61.0,128.0,61.0,8.163,250000.0
-122.41,37.73,33.0,2789.0,567.0,1682.0,552.0,3.8643,276200.0
-118.11,34.1,49.0,2812.0,478.0,1329.0,490.0,5.2503,292900.0
-118.32,33.98,47.0,1528.0,331.0,864.0,308.0,1.9732,101000.0
-119.02,35.35,42.0,1239.0,251.0,776.0,272.0,1.983,63300.0
-121.85,37.41,25.0,1837.0,278.0,1006.0,271.0,6.6842,265300.0
-117.82,33.73,24.0,845.0,190.0,482.0,190.0,4.7039,225000.0
-117.11,32.76,29.0,2030.0,545.0,1014.0,518.0,2.2409,114200.0
-122.29,38.31,45.0,3075.0,754.0,1635.0,723.0,2.2721,139800.0
-117.68,34.15,4.0,4082.0,578.0,1996.0,580.0,6.7813,286300.0
-115.69,32.79,18.0,1564.0,340.0,1161.0,343.0,2.1792,55200.0
-122.03,37.34,16.0,1755.0,410.0,674.0,410.0,5.1602,231200.0
-118.35,33.99,48.0,2741.0,439.0,1115.0,459.0,5.0514,269100.0
-118.26,33.99,47.0,1865.0,465.0,1916.0,438.0,1.8242,95000.0
-122.46,37.71,52.0,1642.0,351.0,1138.0,340.0,4.1406,219500.0
-121.25,37.76,22.0,2430.0,417.0,1292.0,391.0,3.4009,182400.0
-118.23,33.96,36.0,1062.0,270.0,1136.0,273.0,1.6597,109100.0
-118.51,34.03,37.0,4072.0,905.0,1468.0,923.0,3.8571,500001.0
-118.09,33.87,31.0,3498.0,728.0,2098.0,697.0,3.9837,246000.0
-118.58,34.24,26.0,3239.0,647.0,1529.0,590.0,3.2426,236900.0
-122.2,37.48,32.0,640.0,166.0,991.0,160.0,1.9844,270000.0
-117.91,33.9,27.0,829.0,114.0,383.0,133.0,9.3125,293500.0
-118.1,34.13,44.0,1745.0,237.0,693.0,248.0,9.7912,500001.0
-118.2,33.84,35.0,3405.0,779.0,1953.0,671.0,2.7813,159200.0
-117.78,33.97,2.0,556.0,63.0,179.0,54.0,8.4411,500001.0
-118.46,34.08,35.0,3247.0,525.0,1065.0,484.0,7.8426,500001.0
-120.61,35.1,14.0,2919.0,691.0,1896.0,577.0,2.4003,142100.0
-118.22,33.89,36.0,873.0,240.0,1086.0,217.0,2.25,126600.0
-118.92,34.41,22.0,2702.0,655.0,2664.0,571.0,3.0893,173400.0
-117.89,34.12,35.0,1447.0,272.0,1224.0,268.0,3.9934,141900.0
-117.09,32.77,38.0,2065.0,374.0,812.0,343.0,3.125,216500.0
-119.72,34.42,31.0,1524.0,383.0,1257.0,398.0,2.6019,250000.0
-118.32,33.98,49.0,1993.0,446.0,1052.0,394.0,2.2138,119800.0
-121.14,40.29,17.0,1944.0,394.0,384.0,172.0,1.6875,111500.0
-117.32,33.17,18.0,2143.0,299.0,828.0,283.0,4.2383,239000.0
-122.4,37.6,30.0,5351.0,1134.0,2558.0,1074.0,3.5817,369300.0
-121.96,37.31,31.0,3890.0,711.0,1898.0,717.0,5.2534,290900.0
-117.89,34.07,32.0,2374.0,450.0,1580.0,427.0,3.8837,200300.0
-117.35,33.98,31.0,4163.0,1242.0,3928.0,1076.0,1.6943,85900.0
-117.81,34.01,12.0,9197.0,1642.0,4332.0,1554.0,4.9589,282100.0
-122.01,37.3,25.0,4044.0,551.0,1699.0,533.0,8.0837,380600.0
-117.73,34.07,33.0,1921.0,489.0,1430.0,467.0,2.3406,122600.0
-122.04,37.29,19.0,3625.0,432.0,1252.0,409.0,12.2145,500001.0
-122.02,37.98,37.0,1474.0,343.0,782.0,331.0,3.4187,161700.0
-118.37,33.81,36.0,2031.0,339.0,817.0,337.0,5.1271,458300.0
-118.33,33.99,43.0,2224.0,550.0,1598.0,545.0,2.8274,122500.0
-121.77,37.33,9.0,3160.0,468.0,1675.0,470.0,7.5443,348400.0
-117.38,34.44,4.0,5083.0,867.0,2541.0,856.0,4.2414,121400.0
-117.94,33.82,27.0,1366.0,326.0,878.0,325.0,3.4,196900.0
-121.81,36.57,13.0,3030.0,413.0,1027.0,363.0,6.9615,500001.0
-121.56,37.08,17.0,6725.0,1051.0,3439.0,1027.0,6.4313,393100.0
-122.82,38.4,40.0,2406.0,423.0,1054.0,426.0,3.8846,215900.0
-117.11,32.76,21.0,2226.0,600.0,1085.0,533.0,2.2604,126300.0
-117.57,33.88,35.0,1755.0,446.0,1453.0,428.0,2.316,119400.0
-121.15,40.25,14.0,5156.0,880.0,616.0,281.0,3.3462,145200.0
-119.87,36.81,6.0,1891.0,341.0,969.0,330.0,4.6726,107800.0
-119.8,36.78,50.0,1818.0,374.0,737.0,338.0,2.2614,73000.0
-120.46,38.15,16.0,4221.0,781.0,1516.0,697.0,2.3816,116000.0
-122.28,37.85,48.0,2063.0,484.0,1054.0,466.0,2.2625,132900.0
-121.27,38.65,25.0,2787.0,601.0,1247.0,522.0,2.9016,159800.0
-118.24,34.14,36.0,1813.0,560.0,1501.0,544.0,1.9125,238000.0
-119.96,35.99,25.0,1047.0,270.0,1505.0,286.0,2.0976,47700.0
-122.04,37.31,29.0,2476.0,434.0,1217.0,416.0,6.2045,393800.0
-117.95,33.95,29.0,4943.0,674.0,1913.0,641.0,6.8189,379300.0
-117.22,33.36,16.0,3165.0,482.0,1351.0,452.0,4.605,263300.0
-118.3,34.19,14.0,3615.0,913.0,1924.0,852.0,3.5083,280900.0
-121.29,38.65,27.0,2744.0,464.0,1340.0,452.0,3.8816,147300.0
